"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CDC20",0.142909379655373,2.85110292024221,3.37817081260792,0.00144935700317074,0.0197730379624774,-1.27619625140355
"HAVCR2",-0.0879219922683747,3.31346412971455,-3.37801437771955,0.00145002278391501,0.0197730379624774,-1.27661566268839
"MXI1",-0.0773438501101782,3.11284275949581,-3.32951274407169,0.00167106147740704,0.0223802876438442,-1.40608253736164
"RICTOR",-0.0484895520075974,3.34499156785855,-3.29826555536088,0.00183000878083536,0.0240790629057284,-1.48888395940835
"CEP55",0.127762131310052,2.78248895728904,3.25648628053976,0.00206500114854063,0.0262956933006612,-1.59883727254863
"FCGR2B",-0.161112595263696,3.32322921060838,-3.25588303564405,0.00206859453965202,0.0262956933006612,-1.60041846373535
"NGFR",-0.16984169706838,3.19105690840213,-3.21809420858854,0.00230585834153749,0.0287856743843153,-1.6991006430665
"P4HA1",-0.0885195096586564,3.22379836033124,-3.21277731931335,0.00234123484992431,0.0287856743843153,-1.71292678300528
"CD163",-0.135399215401979,3.5776587079667,-3.20448592057413,0.00239742679934469,0.0290011306372342,-1.73445891634668
"CXCL16",-0.0812483509699811,3.25633240747212,-3.17949937999155,0.00257455902554078,0.0306495122088188,-1.79913238948308
"SAMSN1",-0.111785818027721,3.24627401620147,-3.16750379125993,0.00266391492155773,0.0312177529870047,-1.8300657186396
"BNIP3L",-0.0564024409561998,3.54009556917209,-3.11893690993479,0.00305642126366329,0.0352663991961149,-1.95453340450168
"SMAD5",0.0553875705609586,3.28017263590368,3.08352162426463,0.00337625715050494,0.0383665585284652,-2.0445043451428
"BRCA1",0.0820940914152812,2.92848512233499,3.07440380134911,0.00346354650254086,0.0387710429388902,-2.06755834274183
"CD47",-0.0518533307326576,3.52351720913706,-3.05001077760545,0.0037075960401354,0.0408926033838463,-2.12901270706957
"HK2",-0.111263492177327,3.26805593636599,-3.02585699196716,0.00396506065497852,0.0425801615990904,-2.18954309560927
"BRD4",0.0418782733196084,3.41075112465863,3.0232925414309,0.0039933579935954,0.0425801615990904,-2.19595081902215
"JAG1",0.0949832011881893,3.32673993879152,3.01991445286733,0.00403092196471389,0.0425801615990904,-2.20438600020186
"GLUL",-0.0568872684724764,3.87396018845588,-2.99213894618087,0.00435255801757833,0.0452001101724508,-2.27350161570773
"TYMS",0.0820415005993302,3.18821628297006,2.98824858482176,0.00439947739011855,0.0452001101724508,-2.28314785037893
"CD68",-0.102037051346763,3.52782817539148,-2.98190396365227,0.00447701130997905,0.0453751146281661,-2.29886125076627
"FCGR2A",-0.0965801586420838,3.50125163859701,-2.93947974694066,0.00502916059101527,0.0502916059101527,-2.40334662677364
"FPR3",-0.126890376290475,3.18114514125849,-2.92778156066876,0.00519222183672592,0.0512390312834795,-2.4319775184505
"WDR76",0.0994089931697055,2.8724410114325,2.91290848332964,0.00540665136889947,0.0523076095701431,-2.4682653725129
"CXCR4",-0.0918434522462976,3.43487627140422,-2.9106454741626,0.00543999139529488,0.0523076095701431,-2.47377556725642
"SIRPA",-0.0511085937521707,3.47463712709891,-2.90491989844231,0.0055252004697923,0.0524544348398003,-2.48770353879844
"TREM2",-0.0800527899852397,3.44716473193566,-2.8930228468788,0.00570624013371554,0.0534960012535832,-2.51658344221042
"S100A8",-0.158701943060122,3.20459818810903,-2.88235297006634,0.00587328240345246,0.0543822444764116,-2.54241440752689
"CDKN2B",-0.143336666283154,2.90613709656244,-2.85773354538923,0.00627620047953253,0.0574042726786512,-2.60176217454313
"IRF8",-0.102025469345176,3.14164870025907,-2.84603323407304,0.0064765479481742,0.0582584393835486,-2.62984208355196
"UBE2T",0.104271193766934,2.87279769184331,2.84325721839902,0.00652494521095744,0.0582584393835486,-2.6364924504331
"ERO1A",-0.079533282744602,3.34084582826753,-2.82171790580296,0.00691201436179218,0.0604058316107654,-2.68793775004188
"ADM",-0.115827091491935,3.37363554071644,-2.81261613695995,0.00708188196960553,0.0604058316107654,-2.7095936770902
"IL18",-0.112397669425598,3.16442671034754,-2.81248237967862,0.00708440687151073,0.0604058316107654,-2.7099115577475
"AKT1",0.0334405154179427,3.51857769556688,2.81231235558234,0.00708761757566314,0.0604058316107654,-2.71031561278711
"ZEB2",-0.0518445051416432,3.62143950528738,-2.80720594824191,0.00718467604244845,0.0605450228296218,-2.72244270289729
"MS4A4A",-0.113827653434544,3.42684816952661,-2.80073940631974,0.00730935190130417,0.0609112658442014,-2.73777749970924
"FCGR1A",-0.0867829531818369,3.29531962979833,-2.76864432624156,0.00795829414935029,0.065037954669658,-2.81351484086016
"FCGR3A/B",-0.0847862067815792,3.49395988962262,-2.76719457048952,0.0079888268752119,0.065037954669658,-2.81692121522896
"CD28",-0.176457585322768,2.72883601051132,-2.76306774776138,0.00807633331515596,0.065037954669658,-2.82661067658357
"IL10",-0.143791423464363,2.70796200788884,-2.75955924392015,0.00815142365193047,0.065037954669658,-2.8348402139646
"IFNGR1",-0.0445698000153638,3.58363326682809,-2.74895072606557,0.00838240780624977,0.0655004054435742,-2.85967781617777
"PFKFB3",-0.0490090722478094,3.40583467773518,-2.74887618836307,0.0083840518967775,0.0655004054435742,-2.85985208701083
"CCNA1",-0.110994247937014,2.8646908617583,-2.73963332544824,0.00859024336167888,0.0659696896579822,-2.88143571997318
"TP53",0.0605884862567878,3.29994699430073,2.73831461693461,0.00862003944864301,0.0659696896579822,-2.88451085213662
"NOD2",-0.105056680917373,2.87492512570635,-2.72231786110951,0.0089891489018996,0.0678547664283735,-2.92172887724458
"KDR",0.124103478923831,2.95844060918799,2.71649977825167,0.00912696597570513,0.0678547664283735,-2.9352260550606
"FLNB",-0.0826682971404695,3.35647663903961,-2.71604688254313,0.0091377752123543,0.0678547664283735,-2.93627583420581
"TLR1",-0.0878382123897379,3.10656710685571,-2.7096274974929,0.00929225863690504,0.0683254311537135,-2.9511418319054
"PDGFRB",0.107696504298759,3.23397509493364,2.68762504010891,0.00984016086937974,0.0710210805578551,-3.00190069275324
"SFRP4",0.178948612742031,3.11109571921261,2.67910270995366,0.0100602438466244,0.0710210805578551,-3.02148019293199
"ATF3",-0.0859883931512377,3.32637978725351,-2.67363952871451,0.0102036944131926,0.0710210805578551,-3.03400754999431
"TLR8",-0.124719256024403,2.86844370835819,-2.67346163055913,0.0102083970200266,0.0710210805578551,-3.03441516462885
"TNFRSF10C",-0.115203093326432,2.94555390930784,-2.67325067481151,0.0102139760580855,0.0710210805578551,-3.03489849772255
"GPR160",-0.0846549309948337,2.95219703786208,-2.67275727792936,0.0102270356003311,0.0710210805578551,-3.0360288390958
"HSD11B1",-0.150709477210675,2.71527740348405,-2.66715233273038,0.0103764705224441,0.071397732952597,-3.04885867172986
"ITGB2",-0.0846290766270621,3.54193869553134,-2.66341100240739,0.0104773312583808,0.0714363494889599,-3.05741164684362
"OLR1",-0.120050366991148,3.21894283259693,-2.65890048892221,0.0106001233170631,0.0716224548450208,-3.06771130241672
"GBP2",-0.096046321566909,3.3805889231147,-2.64745205757569,0.0109177384021628,0.0731098553716262,-3.09379581599666
"BRCA2",0.092104316837788,2.97343233250586,2.64136014394821,0.0110902796459978,0.0736080507477731,-3.10764200783826
"BCL2",-0.0522940822677018,3.1572440038034,-2.62773926521886,0.0114851340368647,0.0755600923477938,-3.13851530534753
"MMP1",-0.19931846193501,2.76638519722823,-2.60282468870976,0.0122408271816595,0.0798314816195183,-3.19468043781006
"SNCA",-0.118799965774393,3.27653407857701,-2.59915221577731,0.0123559826618722,0.0798878189345186,-3.20292563642546
"RASGRF1",-0.128293592171804,3.12198099306667,-2.57693021820105,0.0130741415006263,0.0838085993629894,-3.25263135645869
"TMEM140",-0.083300881167474,3.23217368134364,-2.56716758347029,0.01340151751136,0.0851791367247455,-3.27436707608174
"CSF1R",-0.0761368857479847,3.55197176194815,-2.55988333687458,0.0136506315623279,0.0854964465622512,-3.29054446960738
"MRC1",-0.185479201501705,3.06239873829958,-2.55904903491274,0.0136794314499602,0.0854964465622512,-3.29239514142819
"TNFAIP3",-0.104328988472712,2.97022425262213,-2.53702706028301,0.0144599136022661,0.0890597025511972,-3.34108030734415
"GNLY",-0.142312711704709,2.77638510791482,-2.53628114698324,0.0144870449483281,0.0890597025511972,-3.34272377062603
"BAMBI",-0.110482881456082,3.17409183704626,-2.52874763315267,0.0147636694798411,0.0898849358378868,-3.35930177197254
"FZD8",0.0876817760059008,2.87366337007092,2.52575452720729,0.0148748999302329,0.0898849358378868,-3.36587792695826
"SOX10",-0.205722013661431,3.28461650118387,-2.51822357406217,0.0151581423250795,0.0898849358378868,-3.38239804062428
"NFIL3",-0.0556081497920169,3.32839621407922,-2.51727119823508,0.0151943082884372,0.0898849358378868,-3.3844845306167
"SRP54",-0.0348995517841537,3.20597432261733,-2.51658234834433,0.0152205158018822,0.0898849358378868,-3.38599330724762
"HDAC11",-0.089300814378217,3.1882900526659,-2.50530188061675,0.0156555632463857,0.0912195921588151,-3.41065602612975
"OAS3",0.0922599543534188,3.27148968078815,2.50442703394526,0.0156897698513162,0.0912195921588151,-3.41256519571916
"TLR2",-0.0810066266699598,3.32278357768448,-2.49637739164776,0.016007707673878,0.0923521596569884,-3.43010798473739
"C5AR1",-0.152118951376597,2.8840780511656,-2.48204465842546,0.0165882987008915,0.0949711757684627,-3.461236823288
"DLL4",0.101244133355104,2.77939011929233,2.47424660332744,0.0169121309434796,0.0960916530879524,-3.47811552540819
"FAS",-0.0927782599807103,2.84262714880143,-2.46238246156344,0.0174157983510477,0.0982093891976377,-3.50371695335859
"GNG4",0.136759958138958,2.8448588496987,2.4545621759688,0.0177551677520592,0.099018097162213,-3.52054044806777
"ITGAM",-0.0896898115098779,2.99049294049479,-2.45001587101759,0.017955195049409,0.099018097162213,-3.53030179416255
"MAP3K8",-0.112254794244108,3.26433307954826,-2.45001391335794,0.017955281618748,0.099018097162213,-3.53030599443716
"FCAR",-0.14357751004255,2.80447299918095,-2.43888135387723,0.0184537126650187,0.100812737433793,-3.55414965039197
